name,state,lat,lon,population,country
Charleston,WV,38.3484,-81.6322,137865,US
Hampton,VA,37.0551,-76.363,137557,US
Elizabeth,NJ,40.6658,-74.1913,137302,US
Stamford,CT,41.1039,-73.5585,137144,US
Pasadena,CA,34.1597,-118.139,136969,US
Racine,WI,42.7274,-87.8135,136637,US
Yakima,WA,46.5923,-120.5496,136518,US
Coral Springs,FL,26.2702,-80.2591,136103,US
Kent,WA,47.3887,-122.2128,135603,US
Bellingham,WA,48.7548,-122.469,135591,US
Bloomington,IL,40.4757,-88.9703,135296,US
Tyler,TX,32.3184,-95.3062,134739,US
Carrollton,TX,32.989,-96.8999,133740,US
Sterling Heights,MI,42.5809,-83.0305,133573,US
Iowa City,IA,41.6559,-91.5303,133565,US
Milton,ON,43.5083,-79.8833,132979,CA
Lehigh Acres,FL,26.612,-81.6388,132353,US
Johnson City,TN,36.3406,-82.3806,131898,US
Coeur d'Alene,ID,47.704,-116.7936,131592,US
Dover,DE,39.161,-75.5202,131461,US
Lewisville,TX,33.0454,-96.9815,131080,US
Santa Clara,CA,37.3646,-121.968,130256,US
Meridian,ID,43.6116,-116.3977,130138,US
Temple,TX,31.1068,-97.3891,129969,US
Norman,OK,35.2335,-97.3471,129672,US
Kailua,HI,21.392,-157.7396,129469,US
Billings,MT,45.7891,-108.5526,129267,US
Arecibo,PR,18.4491,-66.7387,128203,US
Abilene,TX,32.4543,-99.7384,128053,US
Round Rock,TX,30.527,-97.6642,127786,US
Greenville,NC,35.5943,-77.376,127632,US
Pearland,TX,29.5581,-95.3218,127514,US
Simi Valley,CA,34.2663,-118.749,127125,US
Kenosha,WI,42.5865,-87.8773,126951,US
Lynchburg,VA,37.4003,-79.1909,126860,US
Ajax,ON,43.8583,-79.0364,126666,CA
Waldorf,MD,38.6085,-76.9194,126400,US
Clovis,CA,36.8278,-119.683,124725,US
Yuba City,CA,39.1357,-121.6383,124653,US
Seaside,CA,36.6224,-121.8199,124566,US
Logan,UT,41.7399,-111.8422,124449,US
Fort Smith,AR,35.3495,-94.3695,124220,US
Rochester,MN,44.0154,-92.478,122867,US
Burlington,VT,44.4876,-73.2316,122833,US
Arvada,CO,39.832,-105.151,122634,US
Mandeville,LA,30.3751,-90.0904,122591,US
West Palm Beach,FL,26.7469,-80.132,122290,US
Pueblo,CO,38.2701,-104.6114,121976,US
Independence,MO,39.0871,-94.3501,121740,US
Waterloo,ON,43.4667,-80.5167,121436,CA
Monroe,LA,32.5185,-92.0774,121132,US
The Woodlands,TX,30.1738,-95.5134,121002,US
Boulder,CO,40.0248,-105.2524,120289,US
Berkeley,CA,37.8722,-122.276,120257,US
Terrebonne,QC,45.7,-73.6333,119944,CA
North Charleston,SC,32.9067,-80.0722,119913,US
Moncton,NB,46.1328,-64.7714,119785,CA
Brandon,FL,27.9367,-82.3,119767,US
Waterloo,IA,42.4918,-92.3522,119632,US
Duluth,MN,46.7756,-92.1393,119372,US
Cambridge,MA,42.3759,-71.1185,118796,US
Richardson,TX,32.9716,-96.7093,118731,US
Lowell,MA,42.6389,-71.3217,118368,US
Broken Arrow,OK,36.038,-95.7806,118180,US
Utica,NY,43.0962,-75.2261,117943,US
Saanich,BC,48.484,-123.381,117735,CA
Redding,CA,40.5698,-122.365,117275,US
Clearwater,FL,27.979,-82.7623,117247,US
St. Cloud,MN,45.534,-94.1718,116999,US
Harlingen,TX,26.1916,-97.6977,116926,US
Gilroy,CA,37.0046,-121.5854,116882,US
West Jordan,UT,40.6024,-112.0008,116692,US
League City,TX,29.4874,-95.1087,116215,US
Port Arthur,TX,29.8554,-93.9264,116142,US
Richmond,CA,37.9477,-122.3389,115505,US
Westminster,CO,39.8837,-105.0624,115484,US
Elgin,IL,42.0383,-88.324,114934,US
Carlsbad,CA,33.1246,-117.2834,114373,US
Pompano Beach,FL,26.2428,-80.1312,114147,US
Riverview,FL,27.8227,-82.3023,113697,US
Miami Gardens,FL,25.9433,-80.2426,113177,US
Bend,OR,44.0563,-121.3095,113075,US
Sioux City,IA,42.4959,-96.3901,112803,US
Gresham,OR,45.5021,-122.4413,112378,US
Murrieta,CA,33.5719,-117.1909,112064,US
Saginaw,MI,43.4199,-83.9501,112042,US
Everett,WA,47.9525,-122.1669,111845,US
East Los Angeles,CA,34.0326,-118.1691,111647,US
Jacksonville,NC,34.7289,-77.3941,111529,US
Ponce,PR,18.0127,-66.6212,111224,US
Temecula,CA,33.4928,-117.1315,111167,US
